Language,Query,Weight,Bucket,#1,#2,#3,#4,#5,Comment
en,group,7.5,קבוצה,"Page showing world map of bb groups, and ability to find a group near you, with contact info. Closest we have to this in English is: http://www.kabbalah.info/engkab/worldwide_classes.htm",Page collecting all material about the group: lesson excerpts + lessons,Book: Rabash—The Social Writings,,,
en,toronto,7.5,קבוצה,"Page showing Toronto group details: address, contact phone/email, event calendar including when is the next congress / mirror congress. Closest example we have to this is: http://www.kabbalahtoronto.com/",https://kabbalahmedia.info/en/events/c/OiFISWga?language=en,https://kabbalahmedia.info/en/events?location=Canada%7CToronto,,,
en,arvut,328.3,נושא בקבלה,https://kabbalahmedia.info/sources/itcVAcFn,https://kabbalahmedia.info/lessons?source=bs_qMeV5M3Y_itcVAcFn,Excerpts on topic: Arvut,,,
en,tens,328.3,נושא בקבלה,https://kabbalahmedia.info/lessons?topic=0db5BBS3_Gvm4nh0t_6lI2zgHp,Excerpts on topic: Tens,https://kabbalahmedia.info/programs?topic=0db5BBS3_Gvm4nh0t_6lI2zgHp,https://kabbalahmedia.info/sources/VLuOsaN3,https://kabbalahmedia.info/sources/SCW5jePa,
en,revelation,328.3,נושא בקבלה,https://kabbalahmedia.info/sources/6K5za3Hd,https://kabbalahmedia.info/sources/OaIuUScv,https://kabbalahmedia.info/sources/CkyOE05Q,https://kabbalahmedia.info/sources/G0BGxiuz,,"After sources, should have lessons based on the sources listed from most recent to oldest"
en ,women,343.0,נשים,https://kabbalahmedia.info/lessons/women,,https://kabbalahmedia.info/sources/e2kN9ggm,https://kabbalahmedia.info/sources/N69VO1GO,,"After sources, should have all women's lessons and conversations organized from most recent to oldest."
en ,purim,170.7,חגים,http://www.kabbalah.info/bb/purim-meaning/,https://kabbalahmedia.info/events/c/BTc81T71?language=en,https://kabbalahmedia.info/programs?topic=g3ml0jum_1nyptSIo_ZjqGWdYE,https://kabbalahmedia.info/events/holidays?holidays=ZjqGWdYE,,"After reference page, then sources, lessons on Purim from most recent to oldest."
en ,pesach,170.7,חגים,http://www.kabbalah.info/bb/passover-meaning,https://kabbalahmedia.info/lessons?topic=g3ml0jum_1nyptSIo_RWqjxgkj,https://kabbalahmedia.info/programs?topic=g3ml0jum_1nyptSIo_RWqjxgkj,https://kabbalahmedia.info/events/c/PWOJ9aPK,https://kabbalahmedia.info/events/holidays?holidays=RWqjxgkj,"After third result, make sure results are organized chronologically from most recent year to oldest"
en ,shavuot,170.7,חגים,http://www.kabbalah.info/bb/shavuot-meaning/,https://kabbalahmedia.info/lessons?topic=g3ml0jum_1nyptSIo_MyLcuAgH,https://kabbalahmedia.info/programs?topic=g3ml0jum_1nyptSIo_MyLcuAgH,https://kabbalahmedia.info/events/c/CENjlZNr,https://kabbalahmedia.info/events/holidays?holidays=MyLcuAgH,
en ,shamati,967.0,שמעתי,https://kabbalahmedia.info/sources/qMUUn22b,https://kabbalahmedia.info/lessons?source=bs_qMUUn22b,,,,
